priority_rank,customer_id,churn_probability,risk_level,uplift,persuadability_segment,customer_value_eur,recommended_offer,offer_cost,expected_value_saved,roi,selection_status
1,C09561,0.00809,Low,0.11765,HIGHLY PERSUADABLE,1140.0,Free Premium Trial,2700.0,12070.8,4.47,SELECTED
2,C10604,0.97168,Critical,0.10728,HIGHLY PERSUADABLE,803.13,Free Premium Trial,2700.0,7754.4,2.87,SELECTED
3,C10828,0.08237,Low,0.09748,HIGHLY PERSUADABLE,1831.88,Premium Retention Offer,6300.0,16071.3,2.55,SELECTED
4,C00752,0.01351,Low,0.02581,LOW RESPONSE,1723.4,Small Discount,1800.0,4003.2,2.22,SELECTED
5,C09583,0.13227,Low,0.0507,HIGHLY PERSUADABLE,1307.33,Free Premium Trial,2700.0,5965.2,2.21,SELECTED
6,C05566,0.05156,Low,0.02297,HIGHLY PERSUADABLE,1921.61,Small Discount,1800.0,3972.6,2.21,SELECTED
7,C11319,0.02094,Low,0.02371,HIGHLY PERSUADABLE,1850.02,Small Discount,1800.0,3947.4,2.19,SELECTED
8,C10545,0.06294,Low,0.02361,HIGHLY PERSUADABLE,1851.79,Small Discount,1800.0,3934.8,2.19,SELECTED
9,C10853,0.96569,Critical,0.06044,HIGHLY PERSUADABLE,695.54,Small Discount,1800.0,3783.6,2.1,SELECTED
10,C09383,0.02828,Low,0.04436,HIGHLY PERSUADABLE,1862.49,Medium Discount,3600.0,7435.8,2.07,SELECTED
11,C05878,0.00429,Low,0.0239,HIGHLY PERSUADABLE,1732.59,Small Discount,1800.0,3726.9,2.07,SELECTED
12,C10703,0.00632,Low,0.02044,HIGHLY PERSUADABLE,2018.03,Small Discount,1800.0,3712.5,2.06,SELECTED
13,C10811,0.00775,Low,0.02025,HIGHLY PERSUADABLE,2033.78,Small Discount,1800.0,3706.2,2.06,SELECTED
14,C11709,0.02616,Low,0.02213,HIGHLY PERSUADABLE,1853.11,Small Discount,1800.0,3690.9,2.05,SELECTED
15,C02562,0.00595,Low,0.02215,LOW RESPONSE,1823.94,Small Discount,1800.0,3636.0,2.02,SELECTED
16,C11109,0.02677,Low,0.02153,LOW RESPONSE,1874.19,Small Discount,1800.0,3631.5,2.02,SELECTED
17,C10406,0.00642,Low,0.0401,HIGHLY PERSUADABLE,2005.61,Medium Discount,3600.0,7237.8,2.01,SELECTED
18,C11299,0.00588,Low,0.07236,HIGHLY PERSUADABLE,1930.34,Premium Retention Offer,6300.0,12571.2,2.0,SELECTED
19,C11786,0.0268,Low,0.03965,HIGHLY PERSUADABLE,2014.24,Medium Discount,3600.0,7187.4,2.0,SELECTED
20,C02801,0.0265,Low,0.01672,LOW RESPONSE,1793.33,Priority Support,1350.0,2698.2,2.0,SELECTED
21,C11045,0.01642,Low,0.01019,LOW RESPONSE,1961.46,Loyalty Reward,900.0,1799.1,2.0,SELECTED
22,C11395,0.07772,Low,0.01787,HIGHLY PERSUADABLE,1671.03,Priority Support,1350.0,2687.4,1.99,SELECTED
