feature,importance,relative_importance_pct
FACTOR15_V9,0.055524293,5.552429
FACTOR6_V19,0.034354765,3.4354765
PC2,0.011057287,1.1057287
FACTOR16_V12,0.009682795,0.9682795
FACTOR5_V2,0.009644707,0.9644707
PC36,0.009323002,0.9323002
PC12,0.009189481,0.9189481
PC53,0.009062579,0.90625787
PC145,0.00883326,0.88332605
PC85,0.008511498,0.85114974
PC42,0.008395021,0.8395021
PC15,0.008335524,0.8335524
PC82,0.008253469,0.8253469
PC24,0.00809071,0.809071
FACTOR2_V2,0.008027332,0.8027332
PC138,0.008024345,0.8024345
PC18,0.007990398,0.79903984
PC147,0.007821943,0.78219426
PC13,0.007720016,0.7720016
PC73,0.007473561,0.7473561
PC57,0.0073724478,0.7372448
PC27,0.007360637,0.7360637
PC14,0.007339507,0.7339507
PC31,0.007173458,0.71734583
FACTOR5_V1,0.0069307387,0.69307387
PC113,0.006884437,0.6884437
PC107,0.006866592,0.6866592
PC102,0.0067964643,0.67964643
PC55,0.006678772,0.6678772
PC39,0.0066001643,0.6600164
PC150,0.006534335,0.6534335
PC86,0.006479242,0.6479242
FACTOR2_V9,0.0064324564,0.64324564
PC122,0.0064121154,0.64121157
PC157,0.0064020474,0.6402047
PC47,0.006349123,0.6349123
PC1,0.006329758,0.6329758
FACTOR6_V6,0.006296622,0.6296622
PC21,0.006207126,0.62071264
PC80,0.006189451,0.6189451
PC43,0.0060396884,0.60396886
PC143,0.0060252016,0.60252017
PC96,0.005955632,0.5955632
PC77,0.0059288763,0.59288764
PC61,0.005895404,0.5895404
PC72,0.0058055227,0.5805523
PC142,0.0057464666,0.57464665
PC109,0.00568579,0.568579
PC99,0.005675004,0.5675004
PC51,0.0056702774,0.56702775
PC8,0.005663343,0.56633425
PC91,0.005584025,0.5584025
FACTOR1_V3,0.0055111516,0.55111516
PC126,0.0055044782,0.5504478
PC154,0.005453921,0.5453921
PC22,0.005377157,0.53771573
PC66,0.00532626,0.532626
FACTOR1_V15,0.005289767,0.5289767
PC10,0.005252897,0.52528965
PC20,0.005221147,0.5221147
PC75,0.0052096536,0.52096534
PC25,0.0051943194,0.51943195
PC140,0.005119156,0.5119156
PC71,0.0051149684,0.51149684
