customer_id,churn_probability,risk_level,control_churn_probability,treatment_churn_probability,uplift,persuadability_segment,customer_value_eur,customer_value_segment,recommended_offer,recommended_offer_cost,recommended_expected_value,recommended_roi,recommendation_reason
C00001,0.09941,Low,0.01025,0.06575,-0.05551,NEGATIVE RESPONSE,1030.04,Low Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00002,0.03198,Low,0.00669,0.0398,-0.03311,NEGATIVE RESPONSE,779.06,Low Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00003,0.04798,Low,0.00537,0.03897,-0.0336,NEGATIVE RESPONSE,1140.86,Medium Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00004,0.00265,Low,0.00421,0.00804,-0.00383,NEGATIVE RESPONSE,1296.45,Medium Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00005,0.00245,Low,0.00562,0.00814,-0.00252,NEGATIVE RESPONSE,1067.11,Medium Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00006,0.00617,Low,0.00776,0.00748,0.00028,LOW RESPONSE,780.89,Low Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C00007,0.06787,Low,0.00849,0.03313,-0.02464,NEGATIVE RESPONSE,1201.24,Medium Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00008,0.00128,Low,0.00764,0.0089,-0.00126,NEGATIVE RESPONSE,1360.02,High Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00009,0.01674,Low,0.00495,0.02747,-0.02252,NEGATIVE RESPONSE,1016.63,Low Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00010,0.0327,Low,0.00725,0.00739,-0.00013,LOW RESPONSE,967.17,Low Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C00011,0.00656,Low,0.00647,0.00577,0.0007,LOW RESPONSE,1401.53,High Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
