customer_id,customer_value_eur,customer_value_segment
C00001,1030.04,Low Value
C00002,779.06,Low Value
C00003,1140.86,Medium Value
C00004,1296.45,Medium Value
C00005,1067.11,Medium Value
C00006,780.89,Low Value
C00007,1201.24,Medium Value
C00008,1360.02,High Value
C00009,1016.63,Low Value
C00010,967.17,Low Value
C00011,1401.53,High Value
C00012,838.18,Low Value
C00013,802.11,Low Value
C00014,844.86,Low Value
C00015,836.65,Low Value
C00016,1297.83,Medium Value
C00017,903.0,Low Value
C00018,931.13,Low Value
C00019,1405.92,High Value
C00020,1045.92,Medium Value
C00021,857.63,Low Value
C00022,1373.05,High Value
C00023,1063.12,Medium Value
C00024,1006.18,Low Value
C00025,1047.06,Medium Value
C00026,852.24,Low Value
C00027,747.3,Low Value
C00028,855.79,Low Value
C00029,918.51,Low Value
C00030,891.81,Low Value
C00031,1358.65,Medium Value
C00032,887.88,Low Value
C00033,875.84,Low Value
C00034,1379.08,High Value
C00035,788.55,Low Value
C00036,1231.17,Medium Value
C00037,1108.77,Medium Value
C00038,1569.47,High Value
C00039,1246.14,Medium Value
C00040,699.33,Low Value
C00041,1448.72,High Value
C00042,1264.33,Medium Value
C00043,836.39,Low Value
C00044,835.39,Low Value
C00045,1018.91,Low Value
C00046,1193.31,Medium Value
C00047,881.65,Low Value
C00048,907.06,Low Value
C00049,1426.43,High Value
C00050,550.58,Low Value
C00051,1119.14,Medium Value
C00052,814.84,Low Value
C00053,1329.69,Medium Value
C00054,1116.44,Medium Value
C00055,1230.49,Medium Value
C00056,773.92,Low Value
C00057,1141.83,Medium Value
C00058,1376.56,High Value
C00059,909.84,Low Value
C00060,778.65,Low Value
C00061,1423.92,High Value
C00062,1020.97,Low Value
C00063,1075.58,Medium Value
C00064,939.33,Low Value
C00065,891.92,Low Value
C00066,1131.68,Medium Value
C00067,793.23,Low Value
C00068,1595.76,High Value
C00069,1374.35,High Value
C00070,1487.79,High Value
C00071,894.12,Low Value
C00072,741.8,Low Value
C00073,1079.04,Medium Value
C00074,816.92,Low Value
C00075,828.87,Low Value
C00076,1650.49,High Value
C00077,988.02,Low Value
C00078,922.6,Low Value
C00079,1335.23,Medium Value
C00080,1393.53,High Value
C00081,825.8,Low Value
C00082,929.92,Low Value
C00083,942.93,Low Value
C00084,1091.17,Medium Value
C00085,844.22,Low Value
C00086,804.98,Low Value
C00087,1338.85,Medium Value
C00088,1012.45,Low Value
C00089,1364.09,High Value
C00090,575.86,Low Value
C00091,1077.73,Medium Value
C00092,1439.66,High Value
C00093,371.42,Low Value
C00094,1119.44,Medium Value
C00095,836.68,Low Value
C00096,1191.68,Medium Value
C00097,760.46,Low Value
C00098,1073.83,Medium Value
C00099,1021.33,Low Value
C00100,1010.75,Low Value
C00101,886.31,Low Value
C00102,893.45,Low Value
C00103,1096.46,Medium Value
C00104,1123.53,Medium Value
C00105,866.06,Low Value
C00106,1054.41,Medium Value
C00107,696.36,Low Value
C00108,772.05,Low Value
C00109,1452.97,High Value
C00110,784.27,Low Value
