feature,importance_control_model,importance_treatment_model,combined_importance,differential_importance
FACTOR15_V9,0.028918574,0.03805934,0.033488955,0.009140765
FACTOR6_V19,0.009557694,0.027309043,0.01843337,0.01775135
FACTOR15_V3,0.015599876,0.01252522,0.014062548,0.0030746553
FACTOR15_V1,0.011888164,0.013120503,0.012504334,0.0012323391
PC1,0.014184209,0.007837961,0.011011085,0.006346247
PC135,0.008636595,0.01324315,0.010939872,0.004606555
PC53,0.011178131,0.008095053,0.009636592,0.0030830782
PC146,0.010371528,0.008543593,0.00945756,0.0018279348
PC15,0.010940966,0.007761584,0.009351275,0.003179382
PC138,0.010754113,0.00741636,0.009085236,0.003337753
FACTOR4_V10,0.01765046,0.0,0.00882523,0.01765046
PC18,0.007456377,0.0089960545,0.008226216,0.0015396774
PC14,0.007966728,0.008313448,0.008140088,0.00034672022
FACTOR2_V13,0.010347519,0.0055334563,0.007940488,0.0048140627
PC141,0.0077206856,0.008089752,0.007905219,0.00036906637
PC47,0.010019038,0.0054592025,0.00773912,0.0045598354
FACTOR7_V3,0.0,0.015280412,0.007640206,0.015280412
PC20,0.0074525326,0.00779734,0.0076249363,0.00034480728
PC48,0.009582453,0.0051661087,0.007374281,0.0044163447
PC30,0.0057354234,0.0089523615,0.0073438925,0.003216938
PC69,0.0056809434,0.008907204,0.0072940737,0.0032262602
PC104,0.009146043,0.0051899776,0.0071680103,0.0039560655
PC92,0.0085732415,0.0057447148,0.007158978,0.0028285268
PC82,0.008492118,0.0056010145,0.0070465663,0.0028911033
FACTOR6_V20,0.0023535225,0.01158103,0.0069672763,0.009227507
PC22,0.007415431,0.006302049,0.00685874,0.0011133822
PC41,0.006462334,0.0071507134,0.0068065235,0.00068837916
FACTOR5_V2,0.0,0.013237881,0.0066189403,0.013237881
PC142,0.0061560203,0.0070408587,0.0065984395,0.0008848384
PC76,0.008258317,0.004926411,0.006592364,0.0033319057
PC106,0.006672946,0.006493606,0.006583276,0.00017933967
PC65,0.0064995377,0.0065318085,0.0065156734,3.2270793e-05
PC12,0.008308377,0.004722475,0.006515426,0.003585902
PC156,0.00858622,0.0043582665,0.0064722435,0.004227954
PC133,0.004710228,0.008196436,0.006453332,0.0034862077
PC99,0.005396887,0.0074950643,0.006445976,0.002098177
PC91,0.007865364,0.004917111,0.0063912375,0.002948253
PC149,0.006772242,0.0059880223,0.0063801324,0.0007842197
PC19,0.0060348134,0.0066424594,0.0063386364,0.00060764607
PC97,0.006608069,0.006034379,0.006321224,0.00057369005
PC61,0.0061689992,0.0064646364,0.006316818,0.00029563718
PC3,0.0029158755,0.009593961,0.006254918,0.0066780853
